slot_id,biography_id,biography_traditional
89,148,"魏臣。勸說司馬昭立長子司馬炎為世子，
後來司馬炎成為晉王，任命他為丞相。"
90,253,"魏臣，晉朝時任尚書光祿大夫。當東吳的
張儼來弔唁司馬昭時，與羊祜結為莫逆之
交。"
91,315,"公孫淵麾下之將。勸阻公孫淵自稱燕王，
惹得公孫淵大怒，因而被處斬。後來，其
子孫被討伐公孫淵的司馬懿授予爵位。"
92,8,"董卓麾下的猛將，身長九尺。在汜水關之
戰中大破孫堅軍，原本想乘勝追擊，但卻
死在關羽刀下。正史中的記載則是相反，
說他敗給孫堅後被斬殺。"
93,468,"關興的庶子。由於關興的嫡子關統沒有子
嗣，因此由他繼承家業。鍾會叛亂之時被
魏兵殺死。為漢壽亭侯。"
94,280,"袁術的武將。為袁術之子與呂布之女的親
事，被派遣至呂布之處提親，後來呂布和
袁術交惡，被送至許昌，遭曹操所斬。"
95,2,"蜀漢五虎大將之首。與劉備、張飛結為異
姓兄弟。武藝超群，據說能「力敵萬軍」
。劉備入蜀後，他鎮守荊州，最後被吳軍
俘虜斬首。"
96,255,"黃巾黨將領。黃巾之亂後，率領數萬餘黨
襲擊北海，與前來救援的劉備軍會戰，並
單挑關羽，力鬥幾十回合，最後戰死。"
97,172,"魏將。反對司馬師廢曹芳，與揚州刺史文
欽一起發動叛亂，但判變失敗，逃往慎縣
投奔縣令宋白，卻受騙被殺。"
98,283,"毌丘儉的小弟。參加毌丘儉的叛亂，但因
文欽戰敗，和毌丘儉一起逃往吳國。"
99,284,"毌丘儉的長子。曹芳被司馬師逼迫退位後
，促使父親毌丘儉叛亂，並發兵離開洛陽
，但不久便被殺了。"
100,52,"長沙太守。因部屬黃忠沒有射中關羽，而
懷疑其通敵，欲殺之，可是反而被魏延殺
死。性情急躁。"
101,316,"曹操麾下之將。本是袁術屬下，經夏侯惇
勸說，轉而效忠曹操。他向曹操進言，陳
述屯田制的必要。演義中為長沙太守韓玄
之弟。"
102,81,"蜀漢將軍，關羽的次子。劉備起兵征討東
吳時，為報父仇而加入復仇軍。與張飛之
子張苞義結金蘭，一同活躍於北伐戰場。"
103,82,"蜀漢將軍，關羽的三子。荊州陷落時身負
重傷，逃到鮑家莊靜養。南征之時，回歸
蜀漢擔任先鋒，用計捉到孟獲。"
104,83,"東漢的并州刺史。結義兄弟馬騰被曹操殺
害後，與馬騰之子馬超起兵，可是中了曹
操的離間計，欲投降曹操時，被馬超砍下
左臂。"
105,250,"劉表麾下的謀士，從事中郎將。為了探明
曹操的情況去許昌偵察，而被朝廷封為侍
中、零陵太守。歸國後，被為了此事而大
怒的劉表打入大牢。"
106,646,"吳將。當孫亮密謀誅殺孫綝時，受命與全
紀一起攻佔城門，但計劃敗露，遭處斬。"
107,317,"河東郡「白波賊」的大將，與董承、楊奉
等人一起護送獻帝去洛陽。因害怕曹操的
威勢，和楊奉聯手對抗曹操，後來被關羽
、張飛殺死。"
108,173,"孫權麾下的謀士。協助黃蓋、周瑜使「苦
肉計」，自己出任使者親赴曹營，促使計
策成功。蜀軍大舉進攻時，推薦年輕的陸
遜為大都督。"
109,524,"黃巾黨將士。和孫仲、趙弘共同攻佔宛城
，與朱䊵、劉備等黃巾討伐軍進行交戰，
身中流箭戰死。"
110,504,"蜀漢之將，關興之子，關羽之孫。從父親
那裡繼承了漢壽亭侯之位，娶了公主，任
虎賁中郎將。只出現在正史當中。"
111,153,"吳將。孫氏三朝元老，參加過進攻揚州、
赤壁、征討關羽、夷陵等許多戰役，是東
吳水軍將領。"
112,636,"東吳的中書郎。受孫綝之令駐守武昌，到
孫皓即位，昇任司空。由於名字的「宗」
與孫皓的字元宗同，為了避諱，故改名為
孟仁。"
113,17,"吳將，海盜出身，人稱「錦帆賊」。在黃
祖手下鬱鬱不得志，藉助蘇飛之力歸順孫
權。在進攻黃祖、赤壁之戰、對魏作戰中
表現勇猛，深得孫權的信任。"
114,319,"魏臣，大司農。深得曹爽信任，被稱為「
智囊」。勸阻欲投降司馬懿的曹爽，並堅
持抗戰到底，但不被曹爽接納。"
115,53,"東漢的冀州牧。率軍參加討伐董卓聯軍。
同盟決裂後，被尋找根據地的袁紹奪取了
冀州，拋下妻兒去投奔張邈。"
116,18,"劉備麾下之將，關定的次子。得關羽喜愛
，成為其義子。劉備入蜀後，他隨關羽鎮
守荊州。敗走麥城時被吳軍俘虜，遭斬首
。正史中並無關於義子的記述。"
117,174,"劉備麾下大臣，與劉備是同鄉。從義勇軍
時代就跟隨劉備，擔任使者、參謀等職表
現活躍。入蜀後，被任命為昭德將軍。據
說是漫不經心的人。"
118,10,"袁紹麾下的猛將。白馬坡之戰中擔任先鋒
，斬殺宋憲、魏續，又擊退猛將徐晃，但
卻被當時身在曹營的關羽一刀劈死。"
119,15,"蜀漢之將。原是劉表的屬下，後來為劉備
效力，成為僅次於五虎大將的猛將。諸葛
亮死後，他與參謀楊儀對立，被接受孔明
遺計指示的馬岱斬殺。"
120,259,"袁紹麾下之將。界橋之戰時指揮中軍，斬
殺了公孫瓚的部將嚴綱，但在追擊敵兵時
，死在趙雲的手裡。據正史記載，他因生
性傲慢被袁紹疏遠，之後便被肅清殺之。"
121,493,"曹操麾下大臣，經荀彧推薦為曹操效力。
專長計謀，雖受到重用，可惜英年早逝，
之後荀彧便推薦郭嘉以接替戲志才。此人
只見於正史之中。"
122,322,"呂布麾下之將。與侯成、宋憲一起背叛呂
布，投降了曹操。白馬之戰中挑戰顏良，
只一個回合就被斬於刀下。"
123,621,"魏國的從事中郎。賈充上奏擊殺在沓中屯
田的姜維時，他向司馬昭進言應當直接發
兵征討腐敗的蜀國。後來羊祜提征吳論，
卻是與賈充一同反對。"
124,507,"劉虞麾下之將，右北平之人。勸諫欲討伐
公孫瓚的劉虞，應大事化小，小事化無。
此人只出現在正史裡。"
125,154,"曹仁麾下之將。對吳作戰中，將甘寧困在
夷陵城，但是被前來救援的周瑜衝破包圍
。為扭轉態勢，欲夜襲周瑜寨營，可是被
識破，招致大敗。"
126,622,"魏國的西曹掾。當司馬昭令鍾會伐蜀時，
曾進言說鍾會胸懷野心，不可獨掌大權，
但司馬昭回答他早已知情。"
127,494,"董卓的女婿。董卓進京之時，負責守備陝
西。董卓死後，與李傕等人一起襲擊長安
，但是被呂布擊退，挾帶財寶逃亡途中，
被心腹胡赤兒殺死。"
128,326,"在鄧艾伐蜀時擔任監軍。綿竹關之戰中，
曾勸說諸葛瞻投降，遭到拒絕後，便進言
採用奇襲攻城。"
129,84,"蜀漢將軍。原為魏國效力，在諸葛亮第一
次北伐時，歸順蜀漢。諸葛亮臨終時，將
兵法傳授給他。九度發動北伐，使得國力
衰退。"
130,321,"武陵太守金旋麾下的從事。張飛發兵來犯
時，他勸金旋投降，但不被採納，後來金
旋敵不過張飛逃回，他便取了金旋的首級
投降，並被任命為武陵太守。"
131,318,"袁術麾下之將。曹操攻打袁術時，擔任迎
擊的先鋒，在壽春與曹操軍大戰，被夏侯
惇所殺。據正史記載，他曾經被袁術任命
為大將軍。"
132,256,"黃巾黨將領。黃巾之亂後，率領賊軍盤踞
在汝南。官渡之戰時，在曹操軍後面擾亂
，以協助袁紹與劉備。最後在與曹操軍的
戰鬥中，被夏侯淵殺死。"
133,54,"東漢的東郡太守，曾率軍參加討伐董卓的
聯軍。聯盟決裂後，因為拒絕了劉岱借軍
糧的請求而被殺。喬玄之姪。"
134,469,"魏將，猛將許褚之子。討伐蜀漢時為鍾會
的部屬，擔任先鋒負責開道，但當鍾會在
通過時，腳下道路卻崩塌，因而遭處斬。"
135,465,"吳郡太守。欲送密信給曹操，要曹操注意
孫策，卻被孫策發現而遭殺身之禍。後來
他的三名食客為了報仇去襲擊孫策，使孫
策受了重傷。"
136,176,"蜀漢大臣。劉備勸說劉璋投降時，他最早
歸順。擅長評論人物，與其堂弟許劭齊名
。劉備即帝位後，他被封為司徒。"
137,12,"魏將，身長八尺的壯漢。與典韋相鬥不分
勝負，為曹操所賞識，拔擢為貼身護衛。
平時呆頭呆腦，在戰場上卻英勇無比，所
以人稱「虎痴」。"
138,177,"袁紹麾下的幕僚。官渡之戰時投降昔日好
友曹操，告知儲藏軍糧的烏巢情報，得此
消息後，曹操軍發動奇襲，扭轉局勢取得
了大勝利。"
139,155,"袁術麾下之將，慣使三尖刀。劉備軍前來
攻打時，與名將關羽單挑三十回合不分勝
負，後來奉袁術之命打劉備，但經呂布調
解，撤兵而去。"
140,132,"南蠻王孟獲麾下之將，第一洞元帥。為了
迎擊蜀漢軍馬，與阿會喃、董荼那一起出
洞，但遭到夜襲，混亂中被趙雲殺死。"
141,55,"武陵太守。張飛前來攻打武陵之時，不聽
屬下鞏志的勸阻而出兵，後來敗給張飛，
返回城池時被鞏志射死。"
142,382,"虞翻的四子，虞翻之子中最有名聲。與陶
璜等人攻破交趾，自晉朝手中奪回交州。"
143,178,"會稽的郡吏。因為太守王朗敗給孫策，遂
投降孫策。向負重傷的周泰推薦了名醫華
佗。後來勸降蜀將傅士仁，為佔領荊州作
出貢獻。"
144,237,"劉度麾下之將。與劉備軍對壘，但是不敵
張飛、趙雲而投降劉備。被釋放後捲土重
來，卻被趙雲一槍從馬上挑落。"
145,197,"蜀漢之臣。諸葛亮北伐時，打理內政，蜀
漢滅亡後，被押往洛陽。在宴席上勸諫樂
不思蜀的愚庸劉禪。官拜蜀國秘書令。"
146,16,"劉備麾下之將。原本是劉璋的屬下，負責
守衛巴郡，後來與張飛作戰時被俘，但感
於張飛之義，因此歸順劉備。攻打漢中時
，跟隨黃忠活躍在戰場之上。"
147,601,"蜀將。蔣琬之子。２５８年冬，參加姜維
的北伐後，便負責守護漢城。後來得知鍾
會的蜀漢討伐軍攻陷漢中，就開門投降了
。"
148,323,"公孫瓚麾下之將。界橋之戰中，率領一軍
迎敵，敗給了袁紹軍的麴義，遭到斬殺。"
149,324,"孫權麾下之臣。與出任同盟使者來訪的諸
葛亮舌戰，反而自取其辱。孫權即帝位後
，被任命為衛尉，後來做了尚書令。"
150,529,"黃巾黨，張寶麾下武將。在朱䊵等官軍和
劉備軍的攻勢下，固守在陽城縣城。他絕
望地感到城池陷落不可避免，於是刺死張
寶，投降了官軍。"
151,297,"吳郡的強盜，自稱「東吳德王」。與孫策
大戰敗北後，投奔會稽的王朗，但又再次
敗給了孫策，逃跑時死於董襲之手，首級
被獻給孫策。"
152,471,"嚴白虎之弟。嚴白虎被孫策打敗後，擔任
和談的使者，但在談判桌上提議平分江東
，被震怒的孫策斬殺。"
153,85,"蜀漢之將，劉璋的義兄。於劉備攻打西川
時投降，之後便當了劉備的部屬，表現活
躍。其妹日後嫁給劉備為妻（吳夫人）。"
154,623,"魏國的光祿大夫，張皇后之父。和夏侯玄
、李豐一起受曹芳之召，共謀誅殺司馬師
，但在出宮時被發覺曹芳的計劃，三族皆
被處斬。"
155,19,"吳將。打從孫堅起兵時，就為東吳效力的
老將，善使鐵鞭。赤壁之戰時，配合周瑜
行使「苦肉計」，詐降曹操以伺機放火，
為東吳帶來勝利。"
156,325,"袁紹外甥，并州刺史。出兵救援在官渡戰
敗的袁紹，後來在壺關起兵反曹操，與李
典、樂進等曹操旗下的大將英勇奮戰，但
最後以失敗告終。"
157,156,"為蜀漢、魏國效過力的武將。在劉備麾下
時，為討伐東吳而率領水軍，但由於蜀方
大敗，自己孤立無援，不得已而降魏。投
降後，對劉備始終忠節不改。"
158,271,"蜀漢的宦官。得到劉禪的寵愛，在宮中作
威作福，更向後主推薦心腹閻宇，以代姜
維之職。後來蜀漢滅亡，以亂國之罪被斬
首。"
159,426,"高幹之族弟，魏國的司徒。當司馬懿發動
謀反時，代替曹爽擔任大將軍，佔據了曹
爽的陣營。"
160,268,"呂布麾下之將。跟隨呂布轉戰各地，綽號
「陷陣營」。呂布戰敗被擒後，一言不發
從容赴死。"
161,327,"蜀漢之將，右將軍。隨諸葛亮北伐，使用
木牛流馬從劍閣到祁山進行運輸，執行諸
葛亮的計策，故意讓魏軍奪去木牛流馬。"
162,525,"黃巾黨，張寶的副將，在曲陽之戰中出陣
。擔任官軍先鋒的劉備命張飛迎戰，幾個
回合就被張飛挑落馬下。"
163,428,"黃權之子。當黃權降魏後，仍然留在蜀漢
，後來鄧艾攻打蜀國，與諸葛瞻一起守綿
竹關，共同戰死沙場。"
164,328,"呂布麾下之將。守城時違反了禁酒令，遭
到杖責，因此看透呂布，與魏續、宋憲決
定一起叛變，盜走赤兔馬，投降於曹操。"
165,443,"韓遂的武將。２１１年當馬超起兵時，跟
隨韓遂與曹操交戰，後來馬超和韓遂決裂
，隨著韓遂一起降了曹操。"
